,trade_id,product_id,price,size,time,side,exchange,bid,ask,trades,best_bid,best_ask
0,581156882,ETH-USD,3940.75,1.0109108,2024-12-12 03:51:55.653508+00:00,BUY,,,,,,
1,581156408,ETH-USD,3940.49,0.08289,2024-12-12 03:51:40.969747+00:00,SELL,,,,,,
2,581156040,ETH-USD,3946.0,1.63853986,2024-12-12 03:51:25.790657+00:00,BUY,,,,,,
3,581155828,ETH-USD,3948.16,0.01441992,2024-12-12 03:51:10.997689+00:00,SELL,,,,,,
4,581155506,ETH-USD,3945.35,0.0142,2024-12-12 03:50:55.605769+00:00,SELL,,,,,,
5,581155296,ETH-USD,3944.72,1.77676384,2024-12-12 03:50:40.645355+00:00,BUY,,,,,,
6,581155133,ETH-USD,3941.5,0.03820991,2024-12-12 03:50:25.786806+00:00,SELL,,,,,,
7,581154908,ETH-USD,3941.24,0.01657617,2024-12-12 03:50:10.384037+00:00,BUY,,,,,,
8,581154614,ETH-USD,3944.53,0.001,2024-12-12 03:49:55.981847+00:00,SELL,,,,,,
9,581154378,ETH-USD,3943.65,1.92841509,2024-12-12 03:49:40.920150+00:00,BUY,,,,,,
10,581154134,ETH-USD,3938.83,0.001,2024-12-12 03:49:25.404888+00:00,SELL,,,,,,
11,581153837,ETH-USD,3941.73,0.01657411,2024-12-12 03:49:10.850062+00:00,BUY,,,,,,
12,581153688,ETH-USD,3944.7,2.99373182,2024-12-12 03:48:55.860029+00:00,BUY,,,,,,
13,581153486,ETH-USD,3941.28,1.2344,2024-12-12 03:48:40.937552+00:00,SELL,,,,,,
14,581153269,ETH-USD,3942.79,0.01,2024-12-12 03:48:25.976417+00:00,BUY,,,,,,
15,581153059,ETH-USD,3943.93,0.14453592,2024-12-12 03:48:10.826946+00:00,SELL,,,,,,
16,581152855,ETH-USD,3937.31,0.00439519,2024-12-12 03:47:55.765223+00:00,SELL,,,,,,
17,581152646,ETH-USD,3936.55,0.00063925,2024-12-12 03:47:40.826341+00:00,BUY,,,,,,
