iter	Passed	Remaining
401	14746	21936
402	14780	21895
403	14811	21850
404	14841	21803
405	14872	21759
406	14901	21711
407	14932	21666
408	14963	21622
409	14994	21577
410	15021	21527
411	15058	21491
412	15090	21448
413	15122	21405
414	15152	21358
415	15184	21316
416	15214	21271
417	15245	21226
418	15273	21178
419	15304	21134
420	15336	21092
421	15369	21051
422	15395	21000
423	15425	20954
424	15450	20902
425	15483	20862
426	15514	20819
427	15545	20776
428	15578	20735
429	15609	20691
430	15639	20647
431	15671	20604
432	15704	20564
433	15732	20518
434	15761	20472
435	15791	20428
436	15826	20389
437	15863	20354
438	15901	20320
439	15934	20279
440	15964	20236
441	15995	20192
442	16031	20156
443	16066	20119
444	16095	20074
445	16129	20035
446	16158	19990
447	16188	19946
448	16221	19906
449	16253	19864
450	16287	19826
451	16321	19788
452	16353	19746
453	16386	19707
454	16420	19668
455	16454	19629
456	16484	19586
457	16516	19545
458	16551	19508
459	16585	19469
460	16614	19425
461	16645	19383
462	16676	19342
463	16709	19301
464	16741	19261
465	16774	19222
466	16806	19181
467	16835	19138
468	16868	19098
469	16901	19059
470	16933	19018
471	16964	18977
472	17000	18941
473	17038	18907
474	17065	18862
475	17097	18822
476	17130	18782
477	17163	18743
478	17197	18705
479	17233	18670
480	17267	18631
481	17296	18588
482	17335	18555
483	17383	18533
484	17426	18504
485	17461	18467
486	17498	18432
487	17529	18391
488	17562	18352
489	17595	18313
490	17629	18275
491	17661	18236
492	17691	18194
493	17728	18159
494	17754	18113
495	17786	18073
496	17825	18040
497	17865	18009
498	17897	17969
499	17930	17930
500	17966	17895
501	17999	17856
502	18036	17821
503	18069	17782
504	18106	17747
505	18140	17710
506	18178	17676
507	18214	17641
508	18251	17605
509	18288	17571
510	18325	17536
511	18363	17503
512	18406	17473
513	18440	17436
514	18472	17396
515	18504	17357
516	18543	17323
517	18579	17288
518	18611	17248
519	18648	17214
520	18682	17176
521	18727	17149
522	18760	17110
523	18796	17074
524	18835	17041
525	18869	17003
526	18900	16964
527	18938	16929
528	18971	16891
529	19003	16851
530	19041	16817
531	19075	16781
532	19109	16743
533	19141	16704
534	19172	16664
535	19204	16624
536	19238	16587
537	19272	16550
538	19303	16510
539	19334	16469
540	19364	16429
541	19400	16393
542	19433	16355
543	19472	16322
544	19510	16288
545	19549	16255
546	19588	16222
547	19625	16187
548	19663	16153
549	19702	16119
550	19735	16082
551	19766	16042
552	19796	16002
553	19832	15966
554	19866	15929
555	19903	15894
556	19938	15857
557	19977	15824
558	20007	15784
559	20040	15745
560	20075	15709
561	20109	15672
562	20150	15640
563	20183	15603
564	20220	15567
565	20254	15530
566	20291	15495
567	20333	15464
568	20369	15428
569	20405	15393
570	20442	15358
571	20475	15321
572	20512	15286
573	20552	15253
574	20591	15220
575	20632	15187
576	20668	15152
577	20704	15116
578	20738	15079
579	20773	15042
580	20806	15005
581	20839	14966
582	20871	14928
583	20906	14892
584	20945	14858
585	20980	14822
586	21011	14783
587	21048	14748
588	21082	14711
589	21117	14675
590	21153	14638
591	21188	14602
592	21220	14564
593	21251	14525
594	21283	14487
595	21317	14450
596	21347	14410
597	21383	14375
598	21421	14340
599	21462	14308
600	21498	14272
601	21534	14236
602	21572	14202
603	21612	14169
604	21646	14133
605	21681	14096
606	21720	14063
607	21761	14030
608	21798	13995
609	21829	13956
610	21869	13923
611	21908	13889
612	21945	13854
613	21979	13817
614	22012	13780
615	22049	13745
616	22082	13707
617	22110	13667
618	22145	13630
619	22180	13594
620	22225	13564
621	22263	13529
622	22296	13492
623	22329	13455
624	22364	13418
625	22395	13379
626	22426	13341
627	22461	13305
628	22499	13270
629	22530	13232
630	22564	13195
631	22603	13161
632	22642	13127
633	22676	13091
634	22715	13056
635	22751	13021
636	22800	12992
637	22839	12959
638	22881	12927
639	22916	12890
640	22949	12852
641	22983	12816
642	23016	12778
643	23048	12741
644	23078	12701
645	23110	12664
646	23138	12624
647	23165	12583
648	23198	12546
649	23234	12511
650	23264	12472
651	23296	12434
652	23331	12398
653	23363	12360
654	23395	12322
655	23425	12284
656	23459	12247
657	23485	12206
658	23518	12169
659	23560	12137
660	23603	12105
661	23646	12073
662	23681	12037
663	23724	12005
664	23764	11971
665	23799	11935
666	23829	11896
667	23869	11863
668	23900	11825
669	23934	11788
670	23967	11751
671	23997	11713
672	24031	11676
673	24058	11636
674	24090	11599
675	24122	11561
676	24153	11523
677	24188	11487
678	24219	11450
679	24252	11412
680	24286	11376
681	24321	11340
682	24353	11302
683	24389	11267
684	24422	11230
685	24457	11194
686	24490	11157
687	24522	11120
688	24560	11086
689	24597	11050
690	24636	11016
691	24671	10980
692	24699	10942
693	24734	10906
694	24767	10868
695	24802	10833
696	24834	10795
697	24867	10759
698	24901	10722
699	24935	10686
700	24971	10651
701	25006	10615
702	25041	10579
703	25093	10550
704	25130	10515
705	25168	10480
706	25202	10444
707	25238	10409
708	25275	10374
709	25311	10338
710	25345	10302
711	25375	10264
712	25403	10225
713	25438	10189
714	25468	10151
715	25499	10114
716	25530	10076
717	25566	10041
718	25606	10007
719	25644	9972
720	25686	9939
721	25722	9904
722	25753	9866
723	25791	9832
724	25830	9797
725	25866	9762
726	25900	9726
727	25932	9689
728	25965	9652
729	25994	9614
730	26022	9575
731	26052	9538
732	26083	9501
733	26115	9464
734	26148	9427
735	26182	9391
736	26212	9353
737	26244	9317
738	26274	9279
739	26307	9243
740	26337	9205
741	26368	9168
742	26398	9130
743	26426	9093
744	26460	9056
745	26491	9019
746	26524	8983
747	26556	8946
748	26591	8911
749	26626	8875
750	26659	8839
751	26697	8804
752	26727	8767
753	26760	8730
754	26789	8693
755	26821	8656
756	26859	8621
757	26891	8585
758	26926	8549
759	26959	8513
760	26992	8477
761	27025	8441
762	27059	8405
763	27085	8366
764	27120	8331
765	27155	8295
766	27188	8259
767	27224	8223
768	27254	8187
769	27287	8150
770	27322	8115
771	27365	8082
772	27403	8047
773	27439	8011
774	27471	7975
775	27505	7939
776	27542	7904
777	27585	7871
778	27618	7835
779	27653	7799
780	27690	7764
781	27723	7728
782	27759	7693
783	27788	7655
784	27823	7620
785	27856	7584
786	27892	7549
787	27920	7511
788	27951	7474
789	27985	7439
790	28017	7402
791	28050	7366
792	28083	7330
793	28114	7294
794	28148	7258
795	28181	7222
796	28217	7187
797	28250	7151
798	28283	7115
799	28313	7078
800	28345	7042
801	28373	7004
802	28405	6968
803	28440	6933
804	28473	6897
805	28509	6862
806	28547	6827
807	28584	6792
808	28619	6756
809	28651	6720
810	28684	6684
811	28717	6648
812	28747	6612
813	28782	6576
814	28816	6541
815	28850	6505
816	28881	6469
817	28915	6433
818	28945	6397
819	28975	6360
820	29008	6324
821	29041	6288
822	29077	6253
823	29107	6217
824	29141	6181
825	29175	6145
826	29207	6109
827	29236	6073
828	29267	6037
829	29296	6000
830	29325	5963
831	29356	5927
832	29388	5891
833	29415	5854
834	29451	5819
835	29478	5782
836	29508	5746
837	29541	5710
838	29571	5674
839	29596	5637
840	29626	5601
841	29660	5565
842	29691	5529
843	29726	5494
844	29764	5459
845	29795	5423
846	29828	5388
847	29864	5352
848	29896	5317
849	29932	5282
850	29965	5246
851	30000	5211
852	30044	5177
853	30076	5141
854	30113	5106
855	30152	5072
856	30191	5037
857	30224	5002
858	30259	4966
859	30294	4931
860	30329	4896
861	30362	4860
862	30398	4825
863	30433	4790
864	30473	4756
865	30513	4721
866	30554	4687
867	30590	4651
868	30627	4617
869	30662	4581
870	30695	4546
871	30731	4511
872	30766	4475
873	30802	4440
874	30841	4405
875	30882	4371
876	30920	4336
