iter	Logloss
0	0.6930621383
1	0.6929551395
2	0.6928790521
3	0.6928047202
4	0.6927226606
5	0.6926592196
6	0.6925954822
7	0.6925411674
8	0.6924892245
9	0.6924335578
10	0.6923814247
11	0.6923320811
12	0.6922704523
13	0.6922136069
14	0.6921609713
15	0.6921224255
16	0.6920806263
17	0.6920465956
18	0.692006407
19	0.6919610227
20	0.6919132518
21	0.6918819405
22	0.6918422264
23	0.6918170676
24	0.6917730556
25	0.691740461
26	0.691704561
27	0.691675072
28	0.6916404382
29	0.6916144315
30	0.6915818091
31	0.6915520204
32	0.6915215715
33	0.6914940654
34	0.6914663833
35	0.6914350773
36	0.6914026622
37	0.6913708561
38	0.6913401182
39	0.6913121704
40	0.6912892267
41	0.6912606902
42	0.6912402523
43	0.6912121142
44	0.6911863685
45	0.6911601814
46	0.6911334561
47	0.6911121739
48	0.6910901242
49	0.691068616
50	0.6910484
51	0.691025756
52	0.6910070681
53	0.6909862779
54	0.6909644545
55	0.6909467412
56	0.6909309206
57	0.6909101324
58	0.6908854766
59	0.6908636574
60	0.6908459924
61	0.6908249507
62	0.6907949276
63	0.6907717071
64	0.6907471381
65	0.6907286674
66	0.6907091619
67	0.6906933453
68	0.6906780008
69	0.6906541534
70	0.6906371813
71	0.6906150955
72	0.6905975005
73	0.6905821326
74	0.690560324
75	0.6905465032
76	0.6905356394
77	0.6905147945
78	0.6904976485
79	0.6904761026
80	0.6904531029
81	0.6904383746
82	0.6904250618
83	0.6904085636
84	0.6903893772
85	0.690374345
86	0.6903517327
87	0.6903349149
88	0.690312892
89	0.6902930103
90	0.6902760135
91	0.690261652
92	0.6902505113
93	0.6902360041
94	0.6902205687
95	0.6902108409
96	0.690191309
97	0.6901748875
98	0.690158162
99	0.6901398664
100	0.6901237833
101	0.6901081735
102	0.690096885
103	0.6900805345
104	0.6900659852
105	0.690052063
106	0.690029877
107	0.6900154239
108	0.6899903322
109	0.6899726802
110	0.6899547634
111	0.6899418339
112	0.6899269496
113	0.6899139861
114	0.6898880404
115	0.689875369
116	0.6898581231
117	0.6898402586
118	0.6898269125
119	0.689810723
120	0.6897976895
121	0.6897877945
122	0.6897742254
123	0.6897658066
124	0.6897533905
125	0.6897391599
126	0.6897256669
127	0.6897055014
128	0.6896880813
129	0.689675607
130	0.6896584745
131	0.6896397341
132	0.6896226766
133	0.6896019039
134	0.6895913684
135	0.6895819041
136	0.6895639672
137	0.6895511119
138	0.6895410001
139	0.6895231884
140	0.6895052283
141	0.6894927028
142	0.6894773454
143	0.6894606448
144	0.6894445614
145	0.6894334873
146	0.6894204264
147	0.6894023358
148	0.689386645
149	0.6893748355
150	0.6893610131
151	0.6893444617
152	0.6893310001
153	0.6893168452
154	0.6893006716
155	0.6892803584
156	0.689266922
157	0.6892424488
158	0.6892268582
159	0.6892071847
160	0.6891933316
161	0.689186216
162	0.689159895
163	0.6891475814
164	0.6891336103
165	0.6891243169
166	0.6891123273
167	0.6890975291
168	0.6890842253
169	0.6890724814
170	0.6890565833
171	0.6890430907
172	0.689027888
173	0.6890104598
174	0.6889951786
175	0.6889835137
176	0.6889690659
177	0.6889572854
178	0.6889409886
179	0.6889295304
180	0.6889149003
181	0.6889030057
182	0.6888942455
183	0.6888722481
184	0.6888576935
185	0.6888442298
186	0.6888306867
187	0.688818937
188	0.6888011553
189	0.6887894801
190	0.688777987
191	0.6887570742
192	0.6887438541
193	0.6887311995
194	0.6887110248
195	0.688699042
196	0.688686027
197	0.688674942
198	0.6886622154
199	0.6886484264
200	0.6886315475
201	0.6886181646
202	0.6886059545
203	0.6885872263
204	0.6885751417
205	0.6885599207
206	0.6885482886
207	0.6885379395
208	0.6885214612
209	0.6885104668
210	0.6884951856
211	0.6884779986
212	0.6884600999
213	0.6884451746
214	0.6884374356
215	0.6884248234
216	0.6884129928
217	0.6884033989
218	0.6883921205
219	0.6883817201
220	0.6883651851
221	0.6883476211
222	0.6883351023
223	0.6883159998
224	0.6883015907
225	0.688288249
226	0.6882792115
227	0.6882657874
228	0.6882529693
229	0.6882387547
230	0.6882244445
231	0.6882098382
232	0.6881903964
233	0.688176366
234	0.6881580362
235	0.6881455648
236	0.6881319707
237	0.6881186205
238	0.6881025201
239	0.688086962
240	0.6880767391
241	0.6880617857
242	0.6880479273
243	0.6880315216
244	0.6880223912
245	0.68800558
246	0.6879907757
247	0.6879784935
248	0.6879689213
249	0.6879551716
250	0.687939277
251	0.687928369
252	0.687915591
253	0.6878998238
254	0.6878884209
255	0.687874056
256	0.6878631816
257	0.6878507966
258	0.6878373825
259	0.6878222212
260	0.6878094623
261	0.6877957572
262	0.6877831535
263	0.6877748816
264	0.687761591
265	0.687750552
266	0.687734446
267	0.6877191453
268	0.687705824
269	0.6876923487
270	0.6876780596
271	0.6876604542
272	0.6876465081
273	0.6876335368
274	0.6876201243
275	0.6875955712
276	0.6875854995
277	0.6875676391
278	0.6875544301
279	0.6875420232
280	0.6875257598
281	0.6875076351
282	0.6874940075
283	0.6874777132
284	0.6874694862
285	0.687452717
286	0.6874351325
287	0.6874187307
288	0.6874043457
289	0.6873854087
290	0.6873701584
291	0.6873540181
292	0.6873341423
293	0.6873180736
294	0.6873042022
295	0.6872838836
296	0.6872722809
297	0.6872603199
298	0.6872461239
299	0.6872310198
300	0.6872145131
301	0.687200048
302	0.6871839992
303	0.6871715171
304	0.6871487175
305	0.6871262713
306	0.6871075402
307	0.6870935072
308	0.6870805864
309	0.6870631932
310	0.6870463319
311	0.6870298359
312	0.6870157781
313	0.6870033833
314	0.6869896448
315	0.6869747063
316	0.6869588883
317	0.6869488077
318	0.6869333854
319	0.6869135062
320	0.6869014518
321	0.6868838443
322	0.6868720067
323	0.6868515864
324	0.6868396502
325	0.6868211663
326	0.6868055369
327	0.6867885805
328	0.6867717694
329	0.6867536182
330	0.6867418831
331	0.686725812
332	0.6867074517
333	0.6866881422
334	0.6866762194
335	0.6866595623
336	0.6866416998
337	0.6866289404
338	0.686613926
339	0.6865985963
340	0.6865846601
341	0.6865713985
342	0.6865588
343	0.6865407764
344	0.6865235964
345	0.686513165
346	0.6864993813
347	0.686483498
348	0.6864668286
349	0.6864511596
350	0.6864319914
351	0.6864126581
352	0.6863947488
353	0.6863777247
354	0.6863627243
355	0.6863453329
356	0.686326574
357	0.6863094484
358	0.6862926332
359	0.6862783079
360	0.6862627873
361	0.6862437035
362	0.6862216488
363	0.6862074097
364	0.6861895151
365	0.6861719129
366	0.6861580366
367	0.6861418905
368	0.6861270425
369	0.686111687
370	0.6860952309
371	0.6860804153
372	0.6860581529
373	0.686046391
374	0.6860260338
375	0.6860078533
376	0.6859960392
377	0.6859734071
378	0.6859564714
379	0.6859383902
380	0.6859211972
381	0.6859026698
382	0.6858861957
383	0.6858719263
384	0.6858562431
385	0.6858414927
386	0.6858242271
387	0.6858102565
388	0.6857956867
389	0.6857803032
390	0.6857634308
391	0.6857468
392	0.6857309471
393	0.6857099471
394	0.6856975313
395	0.6856858249
396	0.6856757662
397	0.6856653054
398	0.6856516693
399	0.6856328313
400	0.6856175571
401	0.6856044557
402	0.6855820546
403	0.6855702129
404	0.6855542278
405	0.6855313152
406	0.6855170298
407	0.6855060877
408	0.6854885201
409	0.6854724885
410	0.6854628835
411	0.6854481777
412	0.685431834
413	0.6854141379
414	0.6854004642
415	0.6853842988
